text
<s>[INST] SELECT * FROM Professor WHERE department_id = 4; [/INST]SELECT * FROM Professor p WHERE p.department_id = 4 INDEX(p.department_id);</s>
<s>[INST] SELECT * FROM Student s JOIN Enrollment e ON s.student_id = e.student_id WHERE s.ville = 'Rabat'; [/INST]SELECT * FROM Student s JOIN Enrollment e ON s.student_id = e.student_id WHERE s.ville = 'Rabat' INDEX(s.ville);</s>
"<s>[INST] SELECT * FROM Classroom WHERE building_name = 'Building C' AND room_number = 102; [/INST]SELECT * FROM Classroom c WHERE c.building_name = 'Building C' AND c.room_number = 102 INDEX(c.building_name, c.room_number);</s>"
<s>[INST] SELECT * FROM Department WHERE department_name = 'Computer Science'; [/INST]SELECT * FROM Department d WHERE d.department_name = 'Computer Science' INDEX(d.department_name); </s>
<s>[INST] SELECT * FROM Professor WHERE department_id = 4; [/INST]SELECT * FROM Professor p WHERE p.department_id = 4 INDEX(p.department_id);</s>
<s>[INST] SELECT * FROM Student s JOIN Enrollment e ON s.student_id = e.student_id WHERE s.city = 'Rabat'; [/INST]SELECT * FROM Student s JOIN Enrollment e ON s.student_id = e.student_id WHERE s.city = 'Rabat' INDEX(s.city);</s>
"<s>[INST] SELECT * FROM Classroom WHERE building_name = 'Building C' AND room_number = 102; [/INST]SELECT * FROM Classroom c WHERE c.building_name = 'Building C' AND c.room_number = 102 INDEX(c.building_name, c.room_number);</s>"
<s>[INST] SELECT * FROM Department WHERE department_name = 'Computer Science'; [/INST]SELECT * FROM Department d WHERE d.department_name = 'Computer Science' INDEX(d.department_name); </s>
<s>[INST] SELECT * FROM Professor WHERE department_id = 2; [/INST]SELECT * FROM Professor p WHERE p.department_id = 2 INDEX(p.department_id);</s>
<s>[INST] SELECT * FROM Student WHERE graduation_year = 2023; [/INST]SELECT * FROM Student s WHERE s.graduation_year = 2023 INDEX(s.graduation_year);</s>
<s>[INST] SELECT * FROM Course WHERE course_code = 'CS101'; [/INST]SELECT * FROM Course c WHERE c.course_code = 'CS101' INDEX(c.course_code);</s>
<s>[INST] SELECT * FROM Classroom WHERE capacity >= 50; [/INST]SELECT * FROM Classroom c WHERE c.capacity >= 50 INDEX(c.capacity);</s>
<s>[INST] SELECT * FROM Department WHERE department_head = 'John Doe'; [/INST]SELECT * FROM Department d WHERE d.department_head = 'John Doe' INDEX(d.department_head);</s>
"<s>[INST] SELECT * FROM Professor WHERE salary > 60000 AND department_id = 3; [/INST]SELECT * FROM Professor p WHERE p.salary > 60000 AND p.department_id = 3 INDEX(p.salary, p.department_id);</s>"
"<s>[INST] SELECT * FROM Student WHERE city = 'New York' AND graduation_year = 2022; [/INST]SELECT * FROM Student s WHERE s.city = 'New York' AND s.graduation_year = 2022 INDEX(s.city, s.graduation_year);</s>"
"<s>[INST] SELECT * FROM Enrollment WHERE course_id = 101 AND semester = 'Fall 2023'; [/INST]SELECT * FROM Enrollment e WHERE e.course_id = 101 AND e.semester = 'Fall 2023' INDEX(e.course_id, e.semester);</s>"
"<s>[INST] SELECT * FROM Classroom WHERE building_name = 'Building B' AND room_number = 301 AND capacity >= 40; [/INST]SELECT * FROM Classroom c WHERE c.building_name = 'Building B' AND c.room_number = 301 AND c.capacity >= 40 INDEX(c.building_name, c.room_number, c.capacity);</s>"
"<s>[INST] SELECT * FROM Course WHERE department_id = 4 AND credits > 3; [/INST]SELECT * FROM Course c WHERE c.department_id = 4 AND c.credits > 3 INDEX(c.department_id, c.credits);</s>"
"<s>[INST] SELECT * FROM Professor WHERE department_id = 5 AND salary > 70000; [/INST]SELECT * FROM Professor p WHERE p.department_id = 5 AND p.salary > 70000 INDEX(p.department_id, p.salary);</s>"
"<s>[INST] SELECT * FROM Student WHERE major = 'Engineering' AND graduation_year = 2024; [/INST]SELECT * FROM Student s WHERE s.major = 'Engineering' AND s.graduation_year = 2024 INDEX(s.major, s.graduation_year);</s>"
"<s>[INST] SELECT * FROM Course WHERE credits >= 4 AND department_id = 2; [/INST]SELECT * FROM Course c WHERE c.credits >= 4 AND c.department_id = 2 INDEX(c.credits, c.department_id);</s>"
"<s>[INST] SELECT * FROM Classroom WHERE building_name = 'Building A' AND capacity >= 30 AND capacity <= 50; [/INST]SELECT * FROM Classroom c WHERE c.building_name = 'Building A' AND c.capacity >= 30 AND c.capacity <= 50 INDEX(c.building_name, c.capacity);</s>"
<s>[INST] SELECT * FROM Department WHERE budget > 1000000; [/INST]SELECT * FROM Department d WHERE d.budget > 1000000 INDEX(d.budget);</s>
"<s>[INST] SELECT * FROM Professor WHERE tenure_year <= 2010 AND salary < 60000; [/INST]SELECT * FROM Professor p WHERE p.tenure_year <= 2010 AND p.salary < 60000 INDEX(p.tenure_year, p.salary);</s>"
<s>[INST] SELECT * FROM Enrollment WHERE semester = 'Spring 2024'; [/INST]SELECT * FROM Enrollment e WHERE e.semester = 'Spring 2024' INDEX(e.semester);</s>
"<s>[INST] SELECT * FROM Classroom WHERE room_number IN (101,102,103); [/INST]SELECT * FROM Classroom c WHERE c.room_number IN (101, 102, 103) INDEX(c.room_number);</s>"
"<s>[INST] SELECT * FROM Student WHERE graduation_year >= 2023 AND city = 'Los Angeles'; [/INST]SELECT * FROM Student s WHERE s.graduation_year >= 2023 AND s.city = 'Los Angeles' INDEX(s.graduation_year, s.city);</s>"
"<s>[INST] SELECT * FROM Course WHERE department_id = 3 AND credits >= 3 AND credits <= 5; [/INST]SELECT * FROM Course c WHERE c.department_id = 3 AND c.credits >= 3 AND c.credits <= 5 INDEX(c.department_id, c.credits);</s>"
"<s>[INST] SELECT * FROM Professor WHERE department_id = 6 AND years_of_experience > 10; [/INST]SELECT * FROM Professor p WHERE p.department_id = 6 AND p.years_of_experience > 10 INDEX(p.department_id, p.years_of_experience);</s>"
"<s>[INST] SELECT * FROM Student WHERE major = 'Biology' AND graduation_year = 2025; [/INST]SELECT * FROM Student s WHERE s.major = 'Biology' AND s.graduation_year = 2025 INDEX(s.major, s.graduation_year);</s>"
"<s>[INST] SELECT * FROM Course WHERE credits >= 3 AND department_id = 1 AND semester = 'Fall 2024'; [/INST]SELECT * FROM Course c WHERE c.credits >= 3 AND c.department_id = 1 AND c.semester = 'Fall 2024' INDEX(c.credits, c.department_id, c.semester);</s>"
"<s>[INST] SELECT * FROM Classroom WHERE building_name = 'Building D' AND capacity >= 40; [/INST]SELECT * FROM Classroom c WHERE c.building_name = 'Building D' AND c.capacity >= 40 INDEX(c.building_name, c.capacity);</s>"
<s>[INST] SELECT * FROM Department WHERE budget >= 500000 AND budget <= 1000000; [/INST]SELECT * FROM Department d WHERE d.budget >= 500000 AND d.budget <= 1000000 INDEX(d.budget);</s>
"<s>[INST] SELECT * FROM Professor WHERE tenure_year BETWEEN 2005 AND 2010 AND salary < 70000; [/INST]SELECT * FROM Professor p WHERE p.tenure_year BETWEEN 2005 AND 2010 AND p.salary < 70000 INDEX(p.tenure_year, p.salary);</s>"
